YEAR,MO,DY,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN
1981,2,1,10.08,2.5,6.29,8.88,9.01,14.97,5.96
1981,2,2,9.66,-0.03,4.82,7.75,10.43,16.03,5.6
1981,2,3,10.21,0.23,5.22,7.83,10.34,16.69,6.35
1981,2,4,11.92,2.11,7.01,9.43,11.78,18.75,6.98
1981,2,5,14.65,2.92,8.79,11.88,14.33,22.75,8.42
1981,2,6,15.23,3.68,9.45,13.21,12.35,22.19,9.84
1981,2,7,13.15,1.96,7.56,11.68,12.23,20.65,8.42
1981,2,8,12.2,1.01,6.61,10.62,10.72,18.62,7.9
1981,2,9,11.2,0.33,5.77,9.55,9.95,17.23,7.29
1981,2,10,10.93,-1.3,4.82,9.1,10.56,17.39,6.83
1981,2,11,10.45,-0.83,4.81,8.61,11.61,17.15,5.55
1981,2,12,11.48,0.41,5.95,9.44,10.09,17.9,7.82
1981,2,13,11.98,1.31,6.65,10.03,11.83,19.15,7.32
1981,2,14,13.23,0.93,7.08,10.72,11.95,20.08,8.14
1981,2,15,14.85,-0.43,7.21,12.16,12.69,22.48,9.8
1981,2,16,15.07,-1.34,6.87,12.62,13.62,23.26,9.64
1981,2,17,14.9,-1.61,6.65,11.91,10.74,21.55,10.81
1981,2,18,14.73,-1.34,6.69,12.38,13.05,22.64,9.6
1981,2,19,15.37,-0.65,7.36,12.73,11.3,22.3,10.99
1981,2,20,15.69,-0.31,7.69,13.11,13.2,23.53,10.33
1981,2,21,15.46,-1.61,6.92,12.86,12.15,22.98,10.83
1981,2,22,15.49,-1.06,7.22,13.1,13.11,23.11,10.0
1981,2,23,16.09,0.08,8.08,13.58,12.44,22.73,10.28
1981,2,24,17.2,1.3,9.26,14.86,13.88,25.34,11.47
1981,2,25,17.34,1.47,9.4,15.65,14.53,25.87,11.34
1981,2,26,17.47,0.9,9.19,15.94,13.09,24.79,11.7
1981,2,27,16.94,1.46,9.2,15.85,11.46,23.46,12.0
1981,2,28,16.04,3.48,9.76,14.78,10.87,21.59,10.73
1981,3,1,15.68,1.97,8.82,14.86,13.38,23.83,10.45
1981,3,2,14.54,-0.2,7.17,13.79,13.89,22.41,8.53
1981,3,3,15.44,-2.81,6.32,13.89,17.02,24.08,7.05
1981,3,4,16.69,-1.42,7.63,14.32,11.65,23.4,11.76
1981,3,5,17.16,-0.17,8.5,15.1,11.12,23.71,12.58
1981,3,6,17.94,2.79,10.36,16.63,11.23,24.44,13.2
1981,3,7,18.99,4.48,11.73,18.58,13.6,27.3,13.7
1981,3,8,17.61,0.55,9.08,16.93,14.09,25.37,11.28
1981,3,9,17.74,0.43,9.08,17.12,12.76,24.59,11.83
1981,3,10,16.29,0.18,8.23,16.15,14.31,23.85,9.54
1981,3,11,16.53,0.47,8.5,16.9,13.39,23.96,10.57
1981,3,12,14.4,2.38,8.39,14.34,8.34,18.29,9.95
1981,3,13,16.28,3.42,9.85,16.07,13.62,23.29,9.66
1981,3,14,17.36,3.82,10.58,16.54,11.98,24.19,12.22
1981,3,15,17.25,4.4,10.82,16.62,8.92,22.39,13.47
1981,3,16,16.2,6.85,11.53,16.48,8.96,21.12,12.16
1981,3,17,16.3,6.3,11.3,16.1,12.48,23.26,10.78
1981,3,18,18.91,4.32,11.62,17.87,13.77,26.7,12.93
1981,3,19,19.65,4.93,12.29,18.76,12.01,26.57,14.56
1981,3,20,19.69,5.6,12.65,19.77,11.91,26.43,14.52
1981,3,21,18.93,7.27,13.1,19.08,10.98,24.99,14.01
1981,3,22,18.22,3.69,10.95,18.33,13.61,26.25,12.64
1981,3,23,17.47,0.23,8.85,17.33,13.92,25.27,11.35
1981,3,24,17.98,-0.13,8.92,17.23,12.78,25.03,12.24
1981,3,25,17.71,1.12,9.41,17.9,14.92,25.14,10.22
1981,3,26,17.19,4.39,10.79,17.59,10.42,22.91,12.5
1981,3,27,17.96,4.04,11.0,17.74,12.66,24.82,12.15
1981,3,28,19.12,2.09,10.61,18.26,12.62,26.1,13.49
1981,3,29,19.17,3.19,11.19,18.86,12.86,26.27,13.41
1981,3,30,19.53,5.67,12.6,19.56,12.64,25.9,13.26
1981,3,31,18.54,8.05,13.3,18.31,10.09,23.95,13.86
1981,4,1,18.21,6.45,12.33,17.69,11.78,24.76,12.98
1981,4,2,19.87,2.26,11.07,18.88,13.52,27.16,13.65
1981,4,3,20.49,1.6,11.05,19.58,13.91,28.24,14.33
1981,4,4,20.99,3.46,12.23,20.72,15.28,29.46,14.18
1981,4,5,20.07,0.4,10.24,19.93,16.01,28.6,12.59
1981,4,6,19.83,-1.1,9.37,19.23,14.67,27.73,13.06
1981,4,7,20.95,-1.59,9.69,19.69,14.2,28.3,14.11
1981,4,8,21.31,-0.73,10.3,20.05,13.35,28.6,15.25
1981,4,9,22.3,1.12,11.71,21.18,13.85,29.67,15.82
1981,4,10,23.15,0.91,12.03,22.15,15.49,31.4,15.91
1981,4,11,22.71,2.37,12.54,22.08,12.68,29.58,16.9
1981,4,12,22.27,5.32,13.8,21.77,13.1,29.37,16.27
1981,4,13,21.23,8.73,14.98,21.68,10.8,27.57,16.76
1981,4,14,21.71,8.63,15.17,22.4,13.64,29.05,15.41
1981,4,15,22.15,9.44,15.8,22.79,12.33,28.66,16.33
1981,4,16,22.59,11.77,17.18,22.97,11.69,29.4,17.71
1981,4,17,21.83,9.87,15.85,21.98,12.72,28.72,16.0
1981,4,18,19.95,11.37,15.66,20.13,10.76,25.05,14.28
1981,4,19,21.26,7.56,14.4,21.4,11.24,27.8,16.55
1981,4,20,20.2,9.66,14.94,20.69,13.87,27.21,13.35
1981,4,21,21.57,7.44,14.51,21.58,11.91,28.24,16.33
1981,4,22,22.39,7.53,14.96,22.02,11.88,28.4,16.52
1981,4,23,22.96,6.33,14.65,22.9,13.41,30.1,16.69
1981,4,24,23.3,2.4,12.86,22.74,15.06,31.26,16.2
1981,4,25,23.72,0.31,12.01,22.64,14.25,30.98,16.73
1981,4,26,23.69,0.9,12.29,22.91,11.66,29.94,18.28
1981,4,27,23.16,2.05,12.61,22.53,12.17,29.89,17.72
1981,4,28,24.03,3.23,13.62,23.65,13.22,31.05,17.83
1981,4,29,24.51,4.73,14.62,24.45,14.29,32.48,18.19
1981,4,30,23.08,6.12,14.6,23.23,12.56,28.84,16.28
1981,5,1,24.51,5.78,15.15,24.68,15.12,32.09,16.97
1981,5,2,25.65,7.28,16.47,26.0,14.07,32.55,18.48
1981,5,3,24.42,10.12,17.26,25.48,11.53,30.68,19.14
1981,5,4,24.47,12.69,18.58,25.83,11.22,30.51,19.3
1981,5,5,25.28,12.87,19.08,26.34,9.54,30.42,20.88
1981,5,6,22.8,13.91,18.36,23.07,6.66,26.53,19.87
